image_name,manual_count
sc_33_1.png,25
sc_33_11.png, -
sc_33_12.png, -
sc_33_13.png, -
sc_33_14.png, -
sc_33_15.png,26
sc_33_16.png, 24
sc_33_17.png, 5
sc_33_18.png, 15
sc_33_19.png, 5
sc_33_20.png, 20
sc_33_21.png, -
sc_33_22.png,- 
sc_33_23.png,24
sc_33_24.png,6
sc_33_25.png, 7
sc_33_26.png, -
sc_33_27.png,- 
sc_33_28.png, 26
sc_33_29.png, 16
sc_33_30.png, 30
sc_33_31.png, -
sc_33_32.png, -
sc_33_33.png,26
sc_33_34.png, 5
sc_33_35.png, 7
sc_33_36.png, -
sc_33_37.png, -
sc_33_38.png, 20
sc_33_39.png, 17
sc_33_40.png, 29
sc_h_1.png, -
sc_h_3.png, -
sc_h_10.png,25
sc_h_11.png,8
sc_h_12.png, 0
sc_h_13.png,18
sc_h_14.png, -
sc_h_15.png, 2
sc_h_16.png, 33
sc_h_17.png, 3
sc_h_18.png, 3
sc_h_19.png, -
sc_h_20.png, -
sc_h_21.png, -
sc_h_22.png, -
sc_h_23.png, -
sc_h_24.png, -
sc_h_25.png,-
sc_h_26.png,-
sc_h_27.png, 24
sc_h_28.png,10
sc_h_29.png,15
sc_h_30.png, -
sc_h_31.png, 2
sc_h_32.png, 29
sc_h_33.png, 2
sc_h_34.png, 3
sc_h_35.png,  -
sc_h_36.png, -
sc_h_37.png, 27
sc_h_38.png, 8
sc_h_39.png,17
sc_h_40.png,-
sc_h_41.png,2
sc_h_42.png, 33
sc_h_43.png,2
sc_h_44.png,3
