image,sr_method,input_niqe,sr_niqe,niqe_improvement,input_brisque,sr_brisque,brisque_improvement,input_remove,sr_remove,remove_improvement,niqe_result,brisque_result,remove_result
sc_33_1,realesrgan,5.893139362681383,6.284313444998936,-0.39117408231755313,-5.04083251953125,24.94744873046875,-29.98828125,0.7159628868103027,0.7211323976516724,0.005169510841369629,Worsened,Worsened,Improved
sc_33_11,realesrgan,10.522218410810398,4.617147558529609,5.905070852280788,17.36444091796875,22.77947998046875,-5.4150390625,0.9022783041000366,0.857668399810791,-0.044609904289245605,Improved,Worsened,Worsened
sc_33_12,realesrgan,8.399760718961485,4.5651438412617225,3.8346168776997622,16.01043701171875,17.60174560546875,-1.59130859375,0.9031728506088256,0.9039086103439332,0.0007357597351076439,Improved,Worsened,Improved
sc_33_13,realesrgan,6.981310551765733,9.883554748926697,-2.9022441971609636,49.85858154296875,16.70819091796875,33.150390625,0.7773683071136475,0.7019359469413757,-0.07543236017227173,Worsened,Improved,Worsened
sc_33_14,realesrgan,5.21952102153655,8.67723402960112,-3.4577130080645704,20.40740966796875,16.99920654296875,3.408203125,0.8567471504211426,0.849947452545166,-0.0067996978759765625,Worsened,Improved,Worsened
sc_33_15,realesrgan,6.684796784248552,7.796640110093639,-1.1118433258450873,14.96697998046875,16.68280029296875,-1.7158203125,0.5931088924407959,0.5519232749938965,-0.041185617446899414,Worsened,Worsened,Worsened
sc_33_16,realesrgan,13.408182151934277,14.26867956327902,-0.8604974113447437,7.65643310546875,30.20916748046875,-22.552734375,0.9085381627082824,0.8773219585418701,-0.031216204166412242,Worsened,Worsened,Worsened
sc_33_17,realesrgan,12.45483359433236,10.191492686598552,2.2633409077338076,24.87420654296875,27.92401123046875,-3.0498046875,0.8319579362869263,0.8209171295166016,-0.011040806770324707,Improved,Worsened,Worsened
sc_33_18,realesrgan,9.770566356098508,10.487593955178692,-0.7170275990801844,5.01873779296875,8.99822998046875,-3.9794921875,0.907670557498932,0.8678491115570068,-0.03982144594192516,Worsened,Worsened,Worsened
sc_33_19,realesrgan,10.538398912412449,8.023069569201798,2.5153293432106505,8.49530029296875,13.09490966796875,-4.599609375,0.8078644275665283,0.7640994787216187,-0.04376494884490967,Improved,Worsened,Worsened
sc_33_20,realesrgan,12.373572688938754,14.620967033074251,-2.247394344135497,16.01580810546875,19.82440185546875,-3.80859375,0.7899163961410522,0.8216643333435059,0.03174793720245361,Worsened,Worsened,Improved
sc_33_21,realesrgan,8.213320586044878,4.840103305281357,3.3732172807635212,19.28533935546875,45.07147216796875,-25.7861328125,0.8793891072273254,0.8874816298484802,0.008092522621154785,Improved,Worsened,Improved
sc_33_22,realesrgan,10.463014450436097,6.308065407358158,4.154949043077939,55.12420654296875,18.89178466796875,36.232421875,0.7789978981018066,0.7049517631530762,-0.07404613494873047,Improved,Improved,Worsened
