stem,method,remove_score
sc_33_1,lama_dilated,0.7159628868103027
sc_33_1,realesrgan,0.7211323976516724
sc_33_1,aesrgan,0.749676525592804
sc_33_11,lama_dilated,0.9022783041000366
sc_33_11,swin2sr,0.8057804703712463
sc_33_11,realesrgan,0.857668399810791
sc_33_11,aesrgan,0.8882585167884827
sc_33_12,lama_dilated,0.9031728506088257
sc_33_12,swin2sr,0.8684624433517456
sc_33_12,realesrgan,0.9039086103439331
sc_33_12,aesrgan,0.9087388515472412
sc_33_13,lama_dilated,0.7773683071136475
sc_33_13,swin2sr,0.6678956151008606
sc_33_13,realesrgan,0.7019359469413757
sc_33_13,aesrgan,0.6986223459243774
sc_33_14,lama_dilated,0.8567471504211426
sc_33_14,swin2sr,0.7767775654792786
sc_33_14,realesrgan,0.849947452545166
sc_33_14,aesrgan,0.8551514148712158
sc_33_15,lama_dilated,0.5931088924407959
sc_33_15,swin2sr,0.5478333234786987
sc_33_15,realesrgan,0.5519232749938965
sc_33_15,aesrgan,0.5589275360107422
sc_33_16,lama_dilated,0.9085381627082825
sc_33_16,swin2sr,0.8684682250022888
sc_33_16,realesrgan,0.8773219585418701
sc_33_16,aesrgan,0.8764842748641968
sc_33_17,lama_dilated,0.8319579362869263
sc_33_17,swin2sr,0.7646379470825195
sc_33_17,realesrgan,0.8209171295166016
sc_33_17,aesrgan,0.836525022983551
sc_33_18,lama_dilated,0.9076705574989319
sc_33_18,swin2sr,0.8624473214149475
sc_33_18,realesrgan,0.8678491115570068
sc_33_18,aesrgan,0.8795031309127808
sc_33_19,lama_dilated,0.8078644275665283
sc_33_19,swin2sr,0.7979581356048584
sc_33_19,realesrgan,0.7640994787216187
sc_33_19,aesrgan,0.7395495176315308
sc_33_20,lama_dilated,0.7899163961410522
sc_33_20,swin2sr,0.8061161041259766
sc_33_20,realesrgan,0.8216643333435059
sc_33_20,aesrgan,0.8437457084655762
sc_33_21,lama_dilated,0.8793891072273254
sc_33_21,swin2sr,0.8330700397491455
sc_33_21,realesrgan,0.8874816298484802
sc_33_21,aesrgan,0.8428856730461121
sc_33_22,lama_dilated,0.7789978981018066
sc_33_22,swin2sr,0.7286460995674133
sc_33_22,realesrgan,0.7049517631530762
sc_33_22,aesrgan,0.7002192139625549
sc_33_23,lama_dilated,0.908036470413208
sc_33_23,swin2sr,0.8714641332626343
sc_33_23,realesrgan,0.8486559391021729
sc_33_23,aesrgan,0.8651599884033203
sc_33_24,lama_dilated,0.8968496322631836
sc_33_24,swin2sr,0.873729944229126
sc_33_24,realesrgan,0.9067459106445312
sc_33_24,aesrgan,0.910704493522644
sc_33_25,lama_dilated,0.8065935373306274
sc_33_25,swin2sr,0.7216624021530151
sc_33_25,realesrgan,0.7318580150604248
sc_33_25,aesrgan,0.7361936569213867
sc_33_26,lama_dilated,0.9066964387893677
sc_33_26,swin2sr,0.8922539353370667
sc_33_26,realesrgan,0.9047298431396484
sc_33_26,aesrgan,0.9130213856697083
sc_33_27,lama_dilated,0.8900061845779419
sc_33_27,swin2sr,0.7474767565727234
sc_33_27,realesrgan,0.8670586347579956
sc_33_27,aesrgan,0.8507499694824219
sc_33_28,lama_dilated,0.8875241875648499
sc_33_28,swin2sr,0.8327559232711792
sc_33_28,realesrgan,0.8326699733734131
sc_33_28,aesrgan,0.83473801612854
sc_33_29,lama_dilated,0.8764435052871704
sc_33_29,swin2sr,0.912311315536499
sc_33_29,realesrgan,0.9035659432411194
sc_33_29,aesrgan,0.8991302251815796
sc_33_30,lama_dilated,0.8884524703025818
sc_33_30,swin2sr,0.8402360677719116
sc_33_30,realesrgan,0.7559404373168945
sc_33_30,aesrgan,0.7720468640327454
sc_33_31,lama_dilated,0.9175323247909546
sc_33_31,swin2sr,0.8714655041694641
sc_33_31,realesrgan,0.8989089727401733
sc_33_31,aesrgan,0.9231723546981812
sc_33_32,lama_dilated,0.8028961420059204
sc_33_32,swin2sr,0.6353639364242554
sc_33_32,realesrgan,0.7399224638938904
sc_33_32,aesrgan,0.7434636354446411
sc_33_33,lama_dilated,0.8047149777412415
sc_33_33,swin2sr,0.7564333081245422
sc_33_33,realesrgan,0.7057763934135437
sc_33_33,aesrgan,0.7202907800674438
sc_33_34,lama_dilated,0.9094831943511963
sc_33_34,swin2sr,0.8841387629508972
sc_33_34,realesrgan,0.8826086521148682
sc_33_34,aesrgan,0.8921173810958862
sc_33_35,lama_dilated,0.7979444265365601
sc_33_35,swin2sr,0.7279393672943115
sc_33_35,realesrgan,0.7239446640014648
sc_33_35,aesrgan,0.7372786998748779
sc_33_36,lama_dilated,0.9107575416564941
sc_33_36,swin2sr,0.8793622255325317
sc_33_36,realesrgan,0.9177031517028809
