stem,method,H,W,psnr,ssim,lpips
sp04_img01,swin2sr,2468,2492,31.38680679650562,0.9002993414408381,0.04893677681684494
sp04_img01,realesrgan,2468,2492,29.956939879089237,0.8884870391676527,0.05446689948439598
sp04_img01,aesrgan,2468,2492,28.926292854784904,0.8705684287455312,0.09508772939443588
sp04_img03,swin2sr,2384,2372,33.35319658439206,0.8846410522619079,0.06065569072961807
sp04_img03,realesrgan,2384,2372,31.501856702125078,0.8589518145273743,0.0852070227265358
sp04_img03,aesrgan,2384,2372,24.282521569796273,0.7468726385056165,0.1858341246843338
sp04_img05,swin2sr,2296,2276,30.091988186134554,0.9106307271342239,0.05029667541384697
sp04_img05,realesrgan,2296,2276,28.737549807921617,0.8932216227328394,0.0656312108039856
sp04_img05,aesrgan,2296,2276,27.3519136259524,0.8670257973969436,0.11739711463451385
sp09_img01,swin2sr,2916,2928,35.13496388213674,0.8689472359854871,0.03435931354761124
sp09_img01,realesrgan,2916,2928,33.8445011140425,0.8524212594579685,0.032399605959653854
sp09_img01,aesrgan,2916,2928,30.225321451088742,0.7754876651576069,0.06729286909103394
sp09_img03,swin2sr,2884,2872,35.88212670952765,0.8521948983238478,0.053381651639938354
sp09_img03,realesrgan,2884,2872,34.145743309667516,0.8361856354341589,0.04601877182722092
sp09_img03,aesrgan,2884,2872,27.550990729049833,0.7517190703988018,0.09807603061199188
sp09_img05,swin2sr,2812,2812,32.13901455452721,0.8312666763051575,0.027263712137937546
sp09_img05,realesrgan,2812,2812,30.785976405153967,0.811179920241131,0.034382350742816925
sp09_img05,aesrgan,2812,2812,28.25799635436494,0.7646557184690309,0.05154829099774361
sp09_img07,swin2sr,2696,2672,34.42481983886346,0.890497088980282,0.042382001876831055
sp09_img07,realesrgan,2696,2672,33.259070502319275,0.8811990782163903,0.043862029910087585
sp09_img07,aesrgan,2696,2672,31.427533413079214,0.8486008984170755,0.0438656359910965
sp09_img09,swin2sr,2808,2816,33.3829432729834,0.8835151230120356,0.05069775879383087
sp09_img09,realesrgan,2808,2816,32.30779838711292,0.8781917296942409,0.06015297770500183
sp09_img09,aesrgan,2808,2816,30.398778318212436,0.8206865142044403,0.06226813420653343
sp09_img11,swin2sr,2904,2896,29.99545241872777,0.7942022465077289,0.026707977056503296
sp09_img11,realesrgan,2904,2896,28.922049859346927,0.7698238380147794,0.03802236169576645
sp09_img11,aesrgan,2904,2896,27.073758528778093,0.7346059319646726,0.04966169595718384
sp19_img01,swin2sr,2388,2376,31.39053749106356,0.9214646548058228,0.013154241256415844
sp19_img01,realesrgan,2388,2376,30.10157252006533,0.9077050968056511,0.01865880936384201
sp19_img01,aesrgan,2388,2376,29.724958205284548,0.8983861378109804,0.02487332560122013
sp19_img05,swin2sr,2384,2376,30.93633948777665,0.9130979997890941,0.0138406902551651
sp19_img05,realesrgan,2384,2376,29.82316957803063,0.9007329933517626,0.018499121069908142
sp19_img05,aesrgan,2384,2376,29.418456461869656,0.8892152125812639,0.02627282217144966
sp19_img09,swin2sr,2180,2180,25.692130762316047,0.8534993854354346,0.03249853104352951
sp19_img09,realesrgan,2180,2180,24.833657121692813,0.8353791696015284,0.036533791571855545
sp19_img09,aesrgan,2180,2180,23.92114236362417,0.8088743598426525,0.04707317799329758
sp19_img13,swin2sr,2200,2188,27.740831656367334,0.8576677502183118,0.037063322961330414
sp19_img13,realesrgan,2200,2188,26.350492442359105,0.8362094109655139,0.04091716185212135
sp19_img13,aesrgan,2200,2188,24.66753793524566,0.8033925879542503,0.05269215628504753
sp19_img17,swin2sr,2216,2176,27.197846328113286,0.8544875505506973,0.029984883964061737
sp19_img17,realesrgan,2216,2176,25.9572500618157,0.8345306313781967,0.03514716029167175
sp19_img17,aesrgan,2216,2176,24.3770006850832,0.8014948333549619,0.05210112780332565
sp19_img21,swin2sr,2164,2188,27.623182300837477,0.8587407983441592,0.035210851579904556
sp19_img21,realesrgan,2164,2188,26.116129825562314,0.8329264437540947,0.03989815711975098
sp19_img21,aesrgan,2164,2188,24.578036713778243,0.7896804735561324,0.057058241218328476
sp22_img01,swin2sr,2276,2264,32.77023058765215,0.8488418495284531,0.026348313316702843
sp22_img01,realesrgan,2276,2264,30.2791757573592,0.8075812585647264,0.039081018418073654
sp22_img01,aesrgan,2276,2264,28.713194796411937,0.7664788643147267,0.06150977686047554
sp22_img06,swin2sr,2396,2400,31.94015628114412,0.9328557882150147,0.010569838806986809
sp22_img06,realesrgan,2396,2400,30.635511551232376,0.9176489924219674,0.016845444217324257
sp22_img06,aesrgan,2396,2400,29.72892729007086,0.905204008314788,0.02533690817654133
sp22_img11,swin2sr,2576,2592,32.51544769381827,0.907000141919672,0.008447214961051941
sp22_img11,realesrgan,2576,2592,29.457223210364113,0.880977154587424,0.023126838728785515
sp22_img11,aesrgan,2576,2592,30.019025148822944,0.8604158876427124,0.02882002480328083
sp22_img16,swin2sr,2380,2376,30.238139631328465,0.9173061261964347,0.013417920097708702
sp22_img16,realesrgan,2380,2376,28.983451086244685,0.8998204016629479,0.02059817500412464
sp22_img16,aesrgan,2380,2376,28.471607679592154,0.8875051230842916,0.028231212869286537
sp22_img21,swin2sr,2388,2412,30.63991131349098,0.9092374038169789,0.008573118597269058
sp22_img21,realesrgan,2388,2412,29.880437350641795,0.8977429643851029,0.012601867318153381
sp22_img21,aesrgan,2388,2412,29.165941272447363,0.8868757182249581,0.01961226761341095
